timestamp,index,timestamp,name,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,power.draw,fan.speed,pstate,clocks.current.graphics,clocks.current.memory
2025-03-12 19:30:53.092832,4,2025/03/12 19:30:53.079,Quadro RTX 8000,67,98,91,49152,10535,38057,258.71,42,P2,1845,6500
2025-03-12 19:30:55.425402,4,2025/03/12 19:30:55.416,Quadro RTX 8000,68,91,84,49152,10535,38057,259.99,42,P2,1830,6500
2025-03-12 19:30:57.735190,4,2025/03/12 19:30:57.728,Quadro RTX 8000,68,98,92,49152,10535,38057,260.03,42,P2,1830,6500
2025-03-12 19:31:00.081049,4,2025/03/12 19:31:00.073,Quadro RTX 8000,67,90,84,49152,10535,38057,254.86,42,P2,1830,6500
2025-03-12 19:31:02.426003,4,2025/03/12 19:31:02.418,Quadro RTX 8000,68,98,92,49152,10535,38057,257.66,43,P2,1830,6500
2025-03-12 19:31:04.766357,4,2025/03/12 19:31:04.759,Quadro RTX 8000,67,96,90,49152,10535,38057,259.32,43,P2,1845,6500
2025-03-12 19:31:07.102763,4,2025/03/12 19:31:07.095,Quadro RTX 8000,67,51,44,49152,10535,38057,245.14,43,P2,1875,6500
2025-03-12 19:31:09.439552,4,2025/03/12 19:31:09.433,Quadro RTX 8000,68,84,75,49152,10535,38057,248.67,42,P2,1830,6500
2025-03-12 19:31:11.772575,4,2025/03/12 19:31:11.766,Quadro RTX 8000,68,80,70,49152,10535,38057,260.07,42,P2,1845,6500
2025-03-12 19:31:14.103259,4,2025/03/12 19:31:14.096,Quadro RTX 8000,68,98,92,49152,10535,38057,255.77,43,P2,1830,6500
2025-03-12 19:31:16.433650,4,2025/03/12 19:31:16.427,Quadro RTX 8000,67,91,85,49152,10535,38057,254.75,43,P2,1830,6500
2025-03-12 19:31:18.762593,4,2025/03/12 19:31:18.756,Quadro RTX 8000,68,98,91,49152,10535,38057,253.76,42,P2,1830,6500
2025-03-12 19:31:21.093108,4,2025/03/12 19:31:21.086,Quadro RTX 8000,67,90,83,49152,10535,38057,251.42,43,P2,1860,6500
2025-03-12 19:31:23.426737,4,2025/03/12 19:31:23.419,Quadro RTX 8000,67,49,42,49152,10535,38057,246.49,43,P2,1875,6500
2025-03-12 19:31:26.018056,4,2025/03/12 19:31:26.011,Quadro RTX 8000,68,98,91,49152,10535,38057,256.14,42,P2,1845,6500
2025-03-12 19:31:28.351734,4,2025/03/12 19:31:28.344,Quadro RTX 8000,68,98,92,49152,10535,38057,257.78,43,P2,1845,6500
2025-03-12 19:31:30.694758,4,2025/03/12 19:31:30.687,Quadro RTX 8000,66,98,92,49152,10535,38057,259.27,43,P2,1875,6500
2025-03-12 19:31:33.031984,4,2025/03/12 19:31:33.025,Quadro RTX 8000,67,98,92,49152,10535,38057,240.57,43,P2,1860,6500
2025-03-12 19:31:35.369572,4,2025/03/12 19:31:35.353,Quadro RTX 8000,68,98,92,49152,10535,38057,236.07,43,P2,1860,6500
2025-03-12 19:31:37.709357,4,2025/03/12 19:31:37.702,Quadro RTX 8000,68,84,74,49152,10535,38057,240.24,43,P2,1860,6500
2025-03-12 19:31:40.039757,4,2025/03/12 19:31:40.032,Quadro RTX 8000,68,98,92,49152,10535,38057,258.96,43,P2,1845,6500
2025-03-12 19:31:42.359500,4,2025/03/12 19:31:42.352,Quadro RTX 8000,68,87,70,49152,10535,38057,260.92,43,P2,1830,6500
2025-03-12 19:31:44.691403,4,2025/03/12 19:31:44.685,Quadro RTX 8000,68,86,70,49152,10535,38057,258.52,43,P2,1830,6500
2025-03-12 19:31:47.028278,4,2025/03/12 19:31:47.021,Quadro RTX 8000,65,53,45,49152,10535,38057,105.33,43,P2,1875,6500
2025-03-12 19:31:49.361140,4,2025/03/12 19:31:49.353,Quadro RTX 8000,68,88,71,49152,10535,38057,259.09,43,P2,1830,6500
2025-03-12 19:31:51.699798,4,2025/03/12 19:31:51.693,Quadro RTX 8000,68,85,69,49152,10535,38057,259.83,43,P2,1845,6500
2025-03-12 19:31:54.044183,4,2025/03/12 19:31:54.037,Quadro RTX 8000,67,8,7,49152,10535,38057,229.80,43,P2,1845,6500
2025-03-12 19:31:56.379948,4,2025/03/12 19:31:56.373,Quadro RTX 8000,68,82,66,49152,10535,38057,248.25,43,P2,1845,6500
2025-03-12 19:31:58.723577,4,2025/03/12 19:31:58.717,Quadro RTX 8000,68,78,63,49152,10535,38057,249.21,43,P2,1845,6500
2025-03-12 19:32:01.061375,4,2025/03/12 19:32:01.054,Quadro RTX 8000,66,10,8,49152,10535,38057,114.36,43,P2,1860,6500
2025-03-12 19:32:03.394343,4,2025/03/12 19:32:03.387,Quadro RTX 8000,68,74,60,49152,10535,38057,259.23,43,P2,1830,6500
2025-03-12 19:32:05.735669,4,2025/03/12 19:32:05.725,Quadro RTX 8000,68,80,65,49152,10535,38057,245.91,43,P2,1845,6500
2025-03-12 19:32:08.063592,4,2025/03/12 19:32:08.057,Quadro RTX 8000,65,28,24,49152,10535,38057,134.87,44,P2,1860,6500
2025-03-12 19:32:10.407533,4,2025/03/12 19:32:10.401,Quadro RTX 8000,68,78,63,49152,10535,38057,242.04,43,P2,1830,6500
2025-03-12 19:32:12.721126,4,2025/03/12 19:32:12.708,Quadro RTX 8000,68,77,62,49152,10535,38057,251.96,43,P2,1845,6500
2025-03-12 19:32:15.053831,4,2025/03/12 19:32:15.045,Quadro RTX 8000,68,33,29,49152,10535,38057,235.89,43,P2,1860,6500
2025-03-12 19:32:17.390005,4,2025/03/12 19:32:17.383,Quadro RTX 8000,68,98,92,49152,10535,38057,258.23,43,P2,1830,6500
2025-03-12 19:32:19.728901,4,2025/03/12 19:32:19.721,Quadro RTX 8000,68,97,91,49152,10535,38057,257.01,43,P2,1830,6500
2025-03-12 19:32:22.063643,4,2025/03/12 19:32:22.051,Quadro RTX 8000,68,98,91,49152,10535,38057,257.39,43,P2,1860,6500
2025-03-12 19:32:24.404304,4,2025/03/12 19:32:24.398,Quadro RTX 8000,67,91,84,49152,10535,38057,260.91,43,P2,1845,6500
2025-03-12 19:32:26.754300,4,2025/03/12 19:32:26.747,Quadro RTX 8000,68,98,91,49152,10535,38057,237.33,43,P2,1845,6500
