CPU_usage,Memory_info,DiskUsage,nWattsSupply,Moment
869.0,"svmem(total=540894633984, available=507365314560, percent=6.2, used=29971742720, free=361819107328, active=64642551808, inactive=103384756224, buffers=2552844288, cached=146550939648, shared=56205312, slab=7699521536)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:45.991784
937.2,"svmem(total=540894633984, available=507552833536, percent=6.2, used=29784260608, free=362006573056, active=64456740864, inactive=103384809472, buffers=2552844288, cached=146550956032, shared=56205312, slab=7700144128)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:48.305058
649.7,"svmem(total=540894633984, available=507556323328, percent=6.2, used=29780779008, free=362010005504, active=64453353472, inactive=103384866816, buffers=2552844288, cached=146551005184, shared=56205312, slab=7699701760)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:50.640131
566.5,"svmem(total=540894633984, available=507527340032, percent=6.2, used=29809762304, free=361981005824, active=64465518592, inactive=103384883200, buffers=2552844288, cached=146551021568, shared=56205312, slab=7699636224)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:53.010515
774.8,"svmem(total=540894633984, available=507493076992, percent=6.2, used=29844037632, free=361946615808, active=64512548864, inactive=103384911872, buffers=2552844288, cached=146551136256, shared=56205312, slab=7701078016)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:55.332161
753.2,"svmem(total=540894633984, available=507417968640, percent=6.2, used=29919162368, free=361871474688, active=64586330112, inactive=103384944640, buffers=2552844288, cached=146551152640, shared=56205312, slab=7700733952)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:57.646631
669.2,"svmem(total=540894633984, available=507425611776, percent=6.2, used=29911490560, free=361879085056, active=64578314240, inactive=103384977408, buffers=2552856576, cached=146551201792, shared=56205312, slab=7700815872)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:42:59.982962
626.3,"svmem(total=540894633984, available=507407822848, percent=6.2, used=29929279488, free=361861279744, active=64592740352, inactive=103384993792, buffers=2552856576, cached=146551218176, shared=56205312, slab=7700930560)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:43:02.303303
868.0,"svmem(total=540894633984, available=507383091200, percent=6.2, used=29954011136, free=361836531712, active=64619716608, inactive=103384997888, buffers=2552856576, cached=146551234560, shared=56205312, slab=7700340736)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:43:04.642452
830.3,"svmem(total=540894633984, available=507381534720, percent=6.2, used=29955575808, free=361834946560, active=64622407680, inactive=103385026560, buffers=2552856576, cached=146551255040, shared=56205312, slab=7700987904)","sdiskusage(total=938517508096, used=394182586368, free=496585392128, percent=44.3)",-1,2025-03-12 20:43:06.962324
